# file...... batt_R2-25.00-1_reg1_output.csv,,,,,,,,,,,
# date...... Tue Aug 10 17:17:29 2021,,,,,,,,,,,
# user...... solal,,,,,,,,,,,
# host...... (null),,,,,,,,,,,
# target.... regulator 0,,,,,,,,,,,
# trigger... (none),,,,,,,,,,,
# interval.. 60,,,,,,,,,,,
# limit..... 1440,,,,,,,,,,,
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,5980300,2694030,4789100,2485990,5640300,2612300,16409700,7792320
2000-01-01 00:01:00 EST,2,2,2,5978530,2689200,4787740,2482470,5638140,2607390,16404400,7779060
2000-01-01 00:02:00 EST,4,4,4,5976800,2684470,4786410,2479010,5636040,2602590,16399300,7766070
2000-01-01 00:03:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:04:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:05:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:06:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:07:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:08:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:09:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:10:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:11:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:12:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:13:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:14:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:15:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:16:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:17:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:18:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:19:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:20:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:21:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:22:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:23:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:24:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:25:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:26:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:27:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:28:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:29:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:30:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:31:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:32:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:33:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:34:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:35:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:36:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:37:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:38:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:39:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:40:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:41:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:42:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:43:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:44:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:45:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:46:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:47:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:48:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:49:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:50:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:51:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:52:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:53:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:54:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:55:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:56:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:57:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:58:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
2000-01-01 00:59:00 EST,6,6,6,5975120,2679840,4785110,2475630,5633980,2597890,16394200,7753360
